Datum;von;Zeitzone von;bis;Zeitzone bis;Spotmarktpreis in ct/kWh
01.01.2012;00:00;CET;01:00;CET;2,512
01.01.2012;01:00;CET;02:00;CET;2,364
01.01.2012;02:00;CET;03:00;CET;1,903
01.01.2012;03:00;CET;04:00;CET;1,597
01.01.2012;04:00;CET;05:00;CET;1,59
01.01.2012;05:00;CET;06:00;CET;0,949
01.01.2012;06:00;CET;07:00;CET;-0,001
01.01.2012;07:00;CET;08:00;CET;-0,008
01.01.2012;08:00;CET;09:00;CET;-0,003
01.01.2012;09:00;CET;10:00;CET;1,209
01.01.2012;10:00;CET;11:00;CET;1,224
01.01.2012;11:00;CET;12:00;CET;1,862
01.01.2012;12:00;CET;13:00;CET;2,104
01.01.2012;13:00;CET;14:00;CET;1,743
01.01.2012;14:00;CET;15:00;CET;1,214
01.01.2012;15:00;CET;16:00;CET;1,289
01.01.2012;16:00;CET;17:00;CET;1,87
01.01.2012;17:00;CET;18:00;CET;3,3
01.01.2012;18:00;CET;19:00;CET;3,378
01.01.2012;19:00;CET;20:00;CET;3,305
01.01.2012;20:00;CET;21:00;CET;3,092
01.01.2012;21:00;CET;22:00;CET;2,632
01.01.2012;22:00;CET;23:00;CET;2,81
01.01.2012;23:00;CET;00:00;CET;1,72
02.01.2012;00:00;CET;01:00;CET;1,117
02.01.2012;01:00;CET;02:00;CET;-0,001
02.01.2012;02:00;CET;03:00;CET;-1,107
02.01.2012;03:00;CET;04:00;CET;-0,503
02.01.2012;04:00;CET;05:00;CET;-0,148
02.01.2012;05:00;CET;06:00;CET;0,396
02.01.2012;06:00;CET;07:00;CET;2,794
02.01.2012;07:00;CET;08:00;CET;3,831
02.01.2012;08:00;CET;09:00;CET;3,846
02.01.2012;09:00;CET;10:00;CET;4,006
02.01.2012;10:00;CET;11:00;CET;4,425
02.01.2012;11:00;CET;12:00;CET;4,999
02.01.2012;12:00;CET;13:00;CET;5,198
02.01.2012;13:00;CET;14:00;CET;5,141
02.01.2012;14:00;CET;15:00;CET;4,993
02.01.2012;15:00;CET;16:00;CET;5,092
02.01.2012;16:00;CET;17:00;CET;5,479
02.01.2012;17:00;CET;18:00;CET;6,403
02.01.2012;18:00;CET;19:00;CET;5,578
02.01.2012;19:00;CET;20:00;CET;4,712
02.01.2012;20:00;CET;21:00;CET;4,425
02.01.2012;21:00;CET;22:00;CET;3,937
02.01.2012;22:00;CET;23:00;CET;3,603
02.01.2012;23:00;CET;00:00;CET;2,949
03.01.2012;00:00;CET;01:00;CET;2,9
03.01.2012;01:00;CET;02:00;CET;2,554
03.01.2012;02:00;CET;03:00;CET;2,18
03.01.2012;03:00;CET;04:00;CET;1,973
03.01.2012;04:00;CET;05:00;CET;1,902
03.01.2012;05:00;CET;06:00;CET;2,427
03.01.2012;06:00;CET;07:00;CET;3,916
03.01.2012;07:00;CET;08:00;CET;4,667
03.01.2012;08:00;CET;09:00;CET;5,31
03.01.2012;09:00;CET;10:00;CET;5,187
03.01.2012;10:00;CET;11:00;CET;4,434
03.01.2012;11:00;CET;12:00;CET;4,184
03.01.2012;12:00;CET;13:00;CET;3,959
03.01.2012;13:00;CET;14:00;CET;3,804
03.01.2012;14:00;CET;15:00;CET;3,578
03.01.2012;15:00;CET;16:00;CET;3,512
03.01.2012;16:00;CET;17:00;CET;3,679
03.01.2012;17:00;CET;18:00;CET;4,155
03.01.2012;18:00;CET;19:00;CET;4,676
03.01.2012;19:00;CET;20:00;CET;4,247
03.01.2012;20:00;CET;21:00;CET;3,517
03.01.2012;21:00;CET;22:00;CET;2,862
03.01.2012;22:00;CET;23:00;CET;2,844
03.01.2012;23:00;CET;00:00;CET;1,596
04.01.2012;00:00;CET;01:00;CET;0,501
04.01.2012;01:00;CET;02:00;CET;0,005
04.01.2012;02:00;CET;03:00;CET;0,004
04.01.2012;03:00;CET;04:00;CET;0,009
04.01.2012;04:00;CET;05:00;CET;0,991
04.01.2012;05:00;CET;06:00;CET;1,099
04.01.2012;06:00;CET;07:00;CET;2,044
04.01.2012;07:00;CET;08:00;CET;3,988
04.01.2012;08:00;CET;09:00;CET;4,389
04.01.2012;09:00;CET;10:00;CET;4,541
04.01.2012;10:00;CET;11:00;CET;4,497
04.01.2012;11:00;CET;12:00;CET;4,854
04.01.2012;12:00;CET;13:00;CET;4,691
04.01.2012;13:00;CET;14:00;CET;4,5
04.01.2012;14:00;CET;15:00;CET;4,277
04.01.2012;15:00;CET;16:00;CET;4,184
04.01.2012;16:00;CET;17:00;CET;4,483
04.01.2012;17:00;CET;18:00;CET;5,533
04.01.2012;18:00;CET;19:00;CET;5,742
04.01.2012;19:00;CET;20:00;CET;4,871
04.01.2012;20:00;CET;21:00;CET;4,149
04.01.2012;21:00;CET;22:00;CET;3,151
04.01.2012;22:00;CET;23:00;CET;3,058
04.01.2012;23:00;CET;00:00;CET;1,631
05.01.2012;00:00;CET;01:00;CET;0,697
05.01.2012;01:00;CET;02:00;CET;-0,007
05.01.2012;02:00;CET;03:00;CET;-4,246
05.01.2012;03:00;CET;04:00;CET;-5,057
05.01.2012;04:00;CET;05:00;CET;-7,504
05.01.2012;05:00;CET;06:00;CET;-0,598
05.01.2012;06:00;CET;07:00;CET;1,688
05.01.2012;07:00;CET;08:00;CET;3,739
05.01.2012;08:00;CET;09:00;CET;3,719
05.01.2012;09:00;CET;10:00;CET;3,996
05.01.2012;10:00;CET;11:00;CET;4,053
05.01.2012;11:00;CET;12:00;CET;4,035
05.01.2012;12:00;CET;13:00;CET;4,091
05.01.2012;13:00;CET;14:00;CET;3,992
05.01.2012;14:00;CET;15:00;CET;3,926
05.01.2012;15:00;CET;16:00;CET;3,869
05.01.2012;16:00;CET;17:00;CET;3,846
05.01.2012;17:00;CET;18:00;CET;4,264
05.01.2012;18:00;CET;19:00;CET;4,761
05.01.2012;19:00;CET;20:00;CET;4,207
05.01.2012;20:00;CET;21:00;CET;4
05.01.2012;21:00;CET;22:00;CET;3,126
05.01.2012;22:00;CET;23:00;CET;2,956
05.01.2012;23:00;CET;00:00;CET;1,287
06.01.2012;00:00;CET;01:00;CET;1,488
06.01.2012;01:00;CET;02:00;CET;1,172
06.01.2012;02:00;CET;03:00;CET;0,629
06.01.2012;03:00;CET;04:00;CET;1,019
06.01.2012;04:00;CET;05:00;CET;1,098
06.01.2012;05:00;CET;06:00;CET;1,582
06.01.2012;06:00;CET;07:00;CET;2,007
06.01.2012;07:00;CET;08:00;CET;3,655
06.01.2012;08:00;CET;09:00;CET;3,9
06.01.2012;09:00;CET;10:00;CET;4,039
06.01.2012;10:00;CET;11:00;CET;4,466
06.01.2012;11:00;CET;12:00;CET;4,803
06.01.2012;12:00;CET;13:00;CET;4,794
06.01.2012;13:00;CET;14:00;CET;4,203
06.01.2012;14:00;CET;15:00;CET;4,215
06.01.2012;15:00;CET;16:00;CET;4,206
06.01.2012;16:00;CET;17:00;CET;4,413
06.01.2012;17:00;CET;18:00;CET;5,446
06.01.2012;18:00;CET;19:00;CET;6,524
06.01.2012;19:00;CET;20:00;CET;5,796
06.01.2012;20:00;CET;21:00;CET;4,978
06.01.2012;21:00;CET;22:00;CET;4,3
06.01.2012;22:00;CET;23:00;CET;4,365
06.01.2012;23:00;CET;00:00;CET;3,919
07.01.2012;00:00;CET;01:00;CET;3,486
07.01.2012;01:00;CET;02:00;CET;3,064
07.01.2012;02:00;CET;03:00;CET;2,817
07.01.2012;03:00;CET;04:00;CET;1,995
07.01.2012;04:00;CET;05:00;CET;1,787
07.01.2012;05:00;CET;06:00;CET;1,505
07.01.2012;06:00;CET;07:00;CET;1,177
07.01.2012;07:00;CET;08:00;CET;2,592
07.01.2012;08:00;CET;09:00;CET;3,531
07.01.2012;09:00;CET;10:00;CET;3,957
07.01.2012;10:00;CET;11:00;CET;4,044
07.01.2012;11:00;CET;12:00;CET;4,001
07.01.2012;12:00;CET;13:00;CET;4,103
07.01.2012;13:00;CET;14:00;CET;4,057
07.01.2012;14:00;CET;15:00;CET;3,637
07.01.2012;15:00;CET;16:00;CET;3,492
07.01.2012;16:00;CET;17:00;CET;3,613
07.01.2012;17:00;CET;18:00;CET;4,158
07.01.2012;18:00;CET;19:00;CET;4,901
07.01.2012;19:00;CET;20:00;CET;3,912
07.01.2012;20:00;CET;21:00;CET;3,445
07.01.2012;21:00;CET;22:00;CET;3,164
07.01.2012;22:00;CET;23:00;CET;3,15
07.01.2012;23:00;CET;00:00;CET;2,594
08.01.2012;00:00;CET;01:00;CET;0,497
08.01.2012;01:00;CET;02:00;CET;-0,002
08.01.2012;02:00;CET;03:00;CET;0,001
08.01.2012;03:00;CET;04:00;CET;0,493
08.01.2012;04:00;CET;05:00;CET;0,995
08.01.2012;05:00;CET;06:00;CET;0,382
08.01.2012;06:00;CET;07:00;CET;-0,009
08.01.2012;07:00;CET;08:00;CET;0,497
08.01.2012;08:00;CET;09:00;CET;1,513
08.01.2012;09:00;CET;10:00;CET;2,633
08.01.2012;10:00;CET;11:00;CET;3,374
08.01.2012;11:00;CET;12:00;CET;3,805
08.01.2012;12:00;CET;13:00;CET;3,924
08.01.2012;13:00;CET;14:00;CET;3,5
08.01.2012;14:00;CET;15:00;CET;3,329
08.01.2012;15:00;CET;16:00;CET;3,327
08.01.2012;16:00;CET;17:00;CET;3,744
08.01.2012;17:00;CET;18:00;CET;4,603
08.01.2012;18:00;CET;19:00;CET;5,43
08.01.2012;19:00;CET;20:00;CET;5,501
08.01.2012;20:00;CET;21:00;CET;4,65
08.01.2012;21:00;CET;22:00;CET;3,994
08.01.2012;22:00;CET;23:00;CET;4,463
08.01.2012;23:00;CET;00:00;CET;3,744
09.01.2012;00:00;CET;01:00;CET;3,497
09.01.2012;01:00;CET;02:00;CET;3,343
09.01.2012;02:00;CET;03:00;CET;3,274
09.01.2012;03:00;CET;04:00;CET;3,246
09.01.2012;04:00;CET;05:00;CET;3,25
09.01.2012;05:00;CET;06:00;CET;3,613
09.01.2012;06:00;CET;07:00;CET;4,302
09.01.2012;07:00;CET;08:00;CET;5,903
09.01.2012;08:00;CET;09:00;CET;6,448
09.01.2012;09:00;CET;10:00;CET;5,872
09.01.2012;10:00;CET;11:00;CET;5,648
09.01.2012;11:00;CET;12:00;CET;5,604
09.01.2012;12:00;CET;13:00;CET;5,57
09.01.2012;13:00;CET;14:00;CET;5,484
09.01.2012;14:00;CET;15:00;CET;5,232
09.01.2012;15:00;CET;16:00;CET;5,072
09.01.2012;16:00;CET;17:00;CET;5,189
09.01.2012;17:00;CET;18:00;CET;5,702
09.01.2012;18:00;CET;19:00;CET;6,127
09.01.2012;19:00;CET;20:00;CET;5,32
09.01.2012;20:00;CET;21:00;CET;4,731
09.01.2012;21:00;CET;22:00;CET;4,2
09.01.2012;22:00;CET;23:00;CET;4,219
09.01.2012;23:00;CET;00:00;CET;4,134
10.01.2012;00:00;CET;01:00;CET;3,192
10.01.2012;01:00;CET;02:00;CET;3,111
10.01.2012;02:00;CET;03:00;CET;3,071
10.01.2012;03:00;CET;04:00;CET;2,806
10.01.2012;04:00;CET;05:00;CET;3,05
10.01.2012;05:00;CET;06:00;CET;3,382
10.01.2012;06:00;CET;07:00;CET;3,982
10.01.2012;07:00;CET;08:00;CET;4,799
10.01.2012;08:00;CET;09:00;CET;5,296
10.01.2012;09:00;CET;10:00;CET;5,106
10.01.2012;10:00;CET;11:00;CET;5,106
10.01.2012;11:00;CET;12:00;CET;5,3
10.01.2012;12:00;CET;13:00;CET;5,221
10.01.2012;13:00;CET;14:00;CET;5,296
10.01.2012;14:00;CET;15:00;CET;5,199
10.01.2012;15:00;CET;16:00;CET;5,194
10.01.2012;16:00;CET;17:00;CET;5,496
10.01.2012;17:00;CET;18:00;CET;6,118
10.01.2012;18:00;CET;19:00;CET;6,118
10.01.2012;19:00;CET;20:00;CET;5,679
10.01.2012;20:00;CET;21:00;CET;4,8
10.01.2012;21:00;CET;22:00;CET;4,274
10.01.2012;22:00;CET;23:00;CET;4,293
10.01.2012;23:00;CET;00:00;CET;3,967
11.01.2012;00:00;CET;01:00;CET;4,009
11.01.2012;01:00;CET;02:00;CET;3,592
11.01.2012;02:00;CET;03:00;CET;3,408
11.01.2012;03:00;CET;04:00;CET;2,941
11.01.2012;04:00;CET;05:00;CET;3,011
11.01.2012;05:00;CET;06:00;CET;3,611
11.01.2012;06:00;CET;07:00;CET;4,4
11.01.2012;07:00;CET;08:00;CET;5,2
11.01.2012;08:00;CET;09:00;CET;5,191
11.01.2012;09:00;CET;10:00;CET;5,196
11.01.2012;10:00;CET;11:00;CET;5,143
11.01.2012;11:00;CET;12:00;CET;5,199
11.01.2012;12:00;CET;13:00;CET;5,156
11.01.2012;13:00;CET;14:00;CET;5,039
11.01.2012;14:00;CET;15:00;CET;4,903
11.01.2012;15:00;CET;16:00;CET;5,092
11.01.2012;16:00;CET;17:00;CET;4,909
11.01.2012;17:00;CET;18:00;CET;6,02
11.01.2012;18:00;CET;19:00;CET;7,099
11.01.2012;19:00;CET;20:00;CET;6,231
11.01.2012;20:00;CET;21:00;CET;5,618
11.01.2012;21:00;CET;22:00;CET;4,793
11.01.2012;22:00;CET;23:00;CET;4,791
11.01.2012;23:00;CET;00:00;CET;4,248
12.01.2012;00:00;CET;01:00;CET;4,042
12.01.2012;01:00;CET;02:00;CET;3,444
12.01.2012;02:00;CET;03:00;CET;3,202
12.01.2012;03:00;CET;04:00;CET;2,889
12.01.2012;04:00;CET;05:00;CET;2,921
12.01.2012;05:00;CET;06:00;CET;3,202
12.01.2012;06:00;CET;07:00;CET;4,521
12.01.2012;07:00;CET;08:00;CET;5,279
12.01.2012;08:00;CET;09:00;CET;5,642
